"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2016-05-12,5,315.064375,307.593999608812
2016-05-12,6,392.559375,319.81847572469
2016-05-12,7,392.3453125,319.741167336167
2016-05-12,8,394.281875,319.565869836008
2016-05-12,9,394.449375,319.664088098978
2016-05-12,9.2,393.095625,319.664088098978
2016-05-16,0.1,225.6053125,305.351814596294
2016-05-16,1,236.49875,304.493732743981
2016-05-16,2,287.2859375,303.884767611337
2016-05-16,3,289.235625,303.880582431241
2016-05-16,4,288.7496875,298.954994396137
2016-05-16,5,271.703125,301.692463842927
2016-05-16,6,399.8996875,320.831378964775
2016-05-16,7,400.205625,320.750911043694
2016-05-16,8,402.5734375,320.576601967031
2016-05-16,9,402.2590625,320.674565643778
2016-05-16,9.2,401.665625,320.674565643778
2016-05-19,0.1,295.01875,306.329454126346
2016-05-19,1,296.210625,306.10566488679
2016-05-19,2,295.5634375,306.058636192867
2016-05-19,3,302.080625,304.582363333118
2016-05-19,4,282.015625,296.386069232847
2016-05-19,5,345.7440625,297.879890025922
2016-05-19,6,408.8715625,321.693793610582
2016-05-19,7,409.405,321.613011041239
2016-05-19,8,409.89875,321.436222014904
2016-05-19,9,409.89875,321.535544793975
2016-05-19,9.2,409.89875,321.535544793975
2016-05-23,0.1,229.9509375,301.863607374498
2016-05-23,1,222.0940625,301.634096720629
2016-05-23,2,288.29125,301.581367820727
2016-05-23,3,300.3690625,298.905550082812
2016-05-23,4,288.204375,289.596253381253
2016-05-23,5,278.414375,292.63354185904
2016-05-23,6,419.3940625,322.483109416183
2016-05-23,7,422.3953125,322.402567948339
2016-05-23,8,422.1165625,322.220891408214
2016-05-23,9,421.8896875,322.322735237563
2016-05-23,9.2,421.9340625,322.322735237563
2016-05-26,0.1,293.8496875,297.39423637152
2016-05-26,1,313.1440625,297.423406739371
2016-05-26,2,314.4040625,297.418713576715
2016-05-26,3,311.3446875,294.379564717231
2016-05-26,4,293.2375,284.117013123226
2016-05-26,5,407.1196875,288.525922884141
2016-05-26,6,434.7084375,322.897431971051
2016-05-26,7,434.9925,322.815511050855
2016-05-26,8,435.44125,322.63276227498
2016-05-26,9,434.2528125,322.735259904519
2016-05-26,9.2,435.0040625,322.735259904519
2016-05-29,0.1,284.0259375,283.807646519365
2016-05-29,1,315.4128125,283.898244433123
2016-05-29,2,335.28125,283.902841974828
2016-05-29,3,334.404375,286.172214260113
2016-05-29,4,291.3378125,277.638511782511
2016-05-29,5,304.11125,283.032881259101
2016-05-29,6,442.255625,323.27369765096
2016-05-29,7,448.8140625,323.191021980658
2016-05-29,8,452.221875,323.006151705543
2016-05-29,9,452.401875,323.109830040474
2016-05-29,9.2,451.9625,323.109830040474
2016-05-30,0.1,291.866875,279.246997722414
2016-05-30,1,321.0684375,279.32685701062
2016-05-30,2,326.32,279.329621134916
2016-05-30,3,334.6696875,283.247164496865
2016-05-30,4,330.9278125,275.267099715062
2016-05-30,5,265.945,280.883403007086
2016-05-30,6,447.814375,323.362803896253
2016-05-30,7,454.29375,323.280185900715
2016-05-30,8,453.0778125,323.094029350733
2016-05-30,9,453.27875,323.198376404237
2016-05-30,9.2,448.91,323.198376404237
2016-05-31,0.1,240.83125,275.817339439708
2016-05-31,1,230.6278125,275.880332646701
2016-05-31,2,312.2571875,275.880447931926
2016-05-31,3,325.5615625,280.728696801995
2016-05-31,4,326.245625,272.888559409205
2016-05-31,5,305.3296875,278.652110472471
2016-05-31,6,448.109375,323.431087795817
2016-05-31,7,453.645,323.348544214652
2016-05-31,8,454.39,323.160918389825
2016-05-31,9,455.783125,323.266016743452
2016-05-31,9.2,455.5421875,323.266016743452
2016-06-01,0.1,345.5021875,272.854273241701
2016-06-01,1,352.5234375,272.884247718781
2016-06-01,2,353.3028125,272.878231151357
2016-06-01,3,355.1990625,278.433240156899
2016-06-01,4,339.6378125,270.479739912363
2016-06-01,5,300.1528125,276.533859604306
2016-06-01,6,267.956875,323.475281066887
2016-06-01,7,467.5315625,323.392404557975
2016-06-01,8,468.9684375,323.204078603015
2016-06-01,9,468.57625,323.309577814304
2016-06-01,9.2,468.57625,323.309577814304
2016-06-02,0.1,228.416875,269.841450867586
2016-06-02,1,358.1065625,269.838474538696
2016-06-02,2,356.615625,269.826352928612
2016-06-02,3,357.4784375,276.142016824618
2016-06-02,4,340.6971875,268.037879717632
2016-06-02,5,289.644375,274.434723761084
2016-06-02,6,438.005,323.493814090911
